Time,FrameCounter,Signal0,Reference0,Delta0,Compensation0,State0,Threshold0,Signal1,Reference1,Delta1,Compensation1,State1,Threshold1,Signal2,Reference2,Delta2,Compensation2,State2,Threshold2,Signal3,Reference3,Delta3,Compensation3,State3,Threshold3,Signal4,Reference4,Delta4,Compensation4,State4,Threshold4,SWState0,SWDelta0,SWThreshold0,SWPosition0,CurrentFrequency,HopFrequency0,HopFrequency1,HopFrequency2,QTouchLibError,FRAME_END
20:49.1,83,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,83
20:49.1,84,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,84
20:49.1,85,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,85
20:49.1,86,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,86
20:49.1,87,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,87
20:49.2,88,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,88
20:49.2,89,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,89
20:49.2,90,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,90
20:49.2,91,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,91
20:49.2,92,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,92
20:49.3,93,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,93
20:49.3,94,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,94
20:49.3,95,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,95
20:49.3,96,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,96
20:49.3,97,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,97
20:49.4,98,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,98
20:49.4,99,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,99
20:49.4,100,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,100
20:49.4,101,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,101
20:49.4,102,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,102
20:49.5,103,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,103
20:49.5,104,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,104
20:49.5,105,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,105
20:49.5,106,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,106
20:49.5,107,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,107
20:49.6,108,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,108
20:49.6,109,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,109
20:49.6,110,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,110
20:49.6,111,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,506,505,1,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,111
20:49.6,112,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,112
20:49.7,113,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,113
20:49.7,114,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,114
20:49.7,115,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,115
20:49.7,116,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,116
20:49.7,117,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,117
20:49.8,118,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,118
20:49.8,119,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,119
20:49.8,120,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,506,505,1,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,120
20:49.8,121,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,121
20:49.8,122,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,122
20:49.9,123,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,123
20:49.9,124,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,506,505,1,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,124
20:49.9,125,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,506,505,1,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,125
20:49.9,126,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,126
20:49.9,127,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,127
