time,delta0,delta1,delta2,delta3,delta4
523,0025,0026,0027,0034,0035,
524,0025,0026,0024,0034,0035,
525,0024,0026,0030,0033,0035,
526,0026,0026,0030,0033,0035,
527,0026,0023,0030,0040,0035,
528,0027,0025,0032,0042,0042,
529,0030,0025,0032,0042,0043,
530,0033,0034,0043,0053,0059,
531,0035,0037,0046,0061,0063,
532,0048,0050,0058,0078,0085,
533,0056,0069,0060,0090,0094,
534,0056,0069,0060,0090,0094,
535,0046,0053,0054,0075,0077,
536,0043,0048,0049,0069,0073,
537,0042,0036,0043,0060,0062,
538,0035,0032,0039,0051,0053,
539,0030,0032,0037,0048,0049,
540,0028,0030,0034,0044,0043,
541,0026,0030,0033,0041,0041,
542,0023,0025,0032,0038,0040,
543,0023,0025,0032,0038,0039,
544,0023,0025,0030,0038,0039,
545,0025,0025,0029,0038,0038,
546,0025,0026,0029,0038,0035,
547,0025,0025,0029,0039,0035,
548,0025,0026,0032,0037,0038,
549,0025,0025,0032,0040,0038,
550,0026,0026,0034,0042,0041,
551,0030,0027,0034,0048,0042,
552,0033,0028,0038,0049,0048,
553,0034,0028,0040,0054,0051,
554,0035,0039,0046,0062,0064,
555,0041,0044,0051,0081,0078,
556,0053,0053,0069,0113,0095,
557,0063,0070,0083,0166,0125,
558,0063,0070,0084,0166,0125,
559,0063,0070,0083,0156,0124,
560,0063,0070,0081,0147,0116,
561,0063,0068,0075,0129,0109,
562,0056,0053,0062,0109,0092,
563,0043,0044,0052,0082,0075,
564,0040,0041,0045,0073,0070,
565,0032,0036,0044,0062,0058,
566,0032,0036,0041,0059,0055,
567,0032,0036,0040,0059,0053,
568,0032,0036,0040,0057,0047,
569,0028,0028,0036,0048,0047,
570,0025,0027,0034,0045,0045,
571,0028,0028,0034,0045,0045,
572,0028,0027,0033,0041,0044,
573,0028,0027,0030,0041,0043,
574,0026,0027,0032,0044,0038,
575,0026,0027,0031,0047,0043,
576,0026,0026,0032,0047,0044,
577,0028,0028,0035,0049,0044,
578,0031,0028,0039,0052,0044,
579,0031,0033,0043,0056,0053,
580,0039,0035,0046,0064,0061,
581,0042,0039,0056,0075,0070,
582,0052,0055,0077,0101,0088,
583,0072,0071,0119,0151,0111,
584,0072,0071,0119,0152,0115,
585,0072,0071,0114,0152,0115,
586,0072,0071,0105,0136,0107,
587,0063,0064,0093,0120,0096,
588,0053,0053,0076,0100,0084,
589,0048,0044,0062,0084,0073,
590,0039,0038,0054,0074,0064,
591,0033,0035,0046,0066,0064,
592,0033,0035,0044,0061,0057,
593,0033,0035,0040,0059,0057,
594,0033,0035,0037,0058,0050,
595,0033,0030,0036,0058,0049,
596,0029,0030,0034,0047,0042,
597,0029,0028,0029,0041,0037,
598,0026,0027,0028,0040,0037,
599,0026,0024,0028,0038,0037,
600,0024,0024,0028,0037,0037,
601,0024,0024,0028,0036,0036,
602,0024,0029,0026,0036,0035,
603,0024,0029,0026,0036,0035,
604,0024,0026,0028,0042,0034,
605,0024,0026,0028,0042,0035,
606,0024,0027,0031,0042,0035,
607,0028,0027,0031,0049,0046,
608,0030,0027,0036,0053,0048,
609,0035,0037,0043,0054,0055,
610,0052,0045,0061,0075,0077,
611,0071,0059,0078,0104,0092,
612,0133,0098,0136,0165,0136,
613,0133,0098,0182,0205,0147,
614,0133,0098,0182,0205,0147,
615,0128,0098,0154,0181,0132,
616,0106,0098,0154,0181,0132,
617,0085,0072,0120,0142,0103,
618,0069,0064,0097,0116,0096,
619,0054,0051,0074,0092,0080,
620,0051,0051,0074,0092,0080,
621,0045,0051,0074,0092,0080,
622,0043,0051,0074,0092,0080,
623,0036,0036,0045,0064,0061,
624,0032,0032,0040,0058,0052,
625,0032,0032,0031,0052,0048,
626,0032,0032,0030,0048,0046,
627,0032,0032,0030,0047,0040,
628,0028,0030,0030,0042,0036,
629,0024,0027,0029,0039,0036,
630,0024,0027,0026,0035,0032,
631,0021,0025,0026,0035,0032,
632,0019,0021,0026,0035,0028,
633,0019,0021,0024,0032,0028,
634,0019,0021,0021,0032,0028,
635,0017,0021,0021,0028,0025,
636,0017,0021,0019,0028,0025,
637,0017,0021,0019,0028,0027,
638,0018,0022,0019,0029,0027,
639,0020,0023,0021,0029,0027,
640,0020,0023,0022,0029,0027,
641,0019,0023,0026,0035,0028,
642,0018,0023,0026,0038,0033,
643,0019,0026,0026,0043,0036,
644,0026,0027,0030,0046,0040,
645,0034,0037,0036,0054,0052,
646,0044,0056,0048,0084,0086,
647,0102,0485,0115,0160,0165,
648,0102,0485,0115,0160,0165,
649,0065,0150,0077,0108,0116,
650,0058,0073,0062,0083,0089,
651,0058,0045,0048,0069,0069,
652,0028,0035,0037,0059,0054,
653,0025,0027,0029,0040,0035,
654,0022,0021,0025,0028,0027,
655,0015,0017,0021,0026,0024,
656,0014,0015,0018,0021,0019,
657,0013,0014,0016,0021,0017,
658,0012,0014,0016,0024,0017,
659,0012,0014,0016,0024,0017,
660,0012,0015,0016,0022,0018,
661,0012,0015,0016,0015,0018,
662,0012,0015,0016,0015,0018,
663,0011,0014,0014,0015,0018,
664,0011,0014,0014,0025,0016,
665,0014,0014,0015,0025,0018,
666,0014,0012,0015,0025,0017,
667,0014,0011,0015,0023,0019,
668,0011,0011,0013,0023,0017,
669,0012,0011,0014,0020,0018,
670,0011,0011,0014,0017,0017,
671,0012,0014,0016,0017,0017,
672,0012,0017,0016,0017,0017,
673,0012,0014,0017,0021,0018,
674,0012,0014,0016,0021,0018,
675,0012,0014,0016,0020,0018,
676,0015,0014,0016,0020,0017,
677,0012,0014,0016,0020,0017,
678,0012,0011,0015,0019,0016,
679,0012,0011,0014,0016,0016,
680,0013,0012,0014,0016,0015,
681,0013,0014,0014,0016,0018,
682,0013,0014,0016,0020,0018,
683,0014,0014,0017,0020,0018,
684,0014,0015,0017,0016,0017,
685,0014,0014,0019,0013,0017,
686,0011,0014,0016,0012,0017,
687,0012,0014,0017,0012,0018,
688,0012,0013,0017,0017,0017,
689,0012,0013,0017,0017,0017,
690,0011,0013,0018,0018,0017,
691,0011,0014,0018,0018,0018,
692,0013,0014,0019,0018,0018,
693,0013,0014,0019,0020,0017,
694,0015,0017,0018,0021,0017,
695,0011,0017,0018,0021,0017,
696,0011,0010,0018,0015,0017,
697,0011,0010,0018,0015,0017,
698,0013,0013,0019,0015,0016,
699,0013,0013,0018,0015,0017,
700,0012,0013,0021,0021,0017,
701,0012,0015,0018,0021,0017,
702,0012,0015,0018,0017,0019,
703,0012,0014,0018,0017,0015,
704,0011,0013,0015,0017,0015,
705,0011,0011,0015,0017,0015,
706,0011,0011,0015,0021,0016,
707,0011,0011,0015,0021,0016,
708,0011,0012,0015,0021,0017,
709,0014,0015,0015,0021,0017,
710,0014,0014,0015,0021,0017,
711,0014,0015,0016,0016,0017,
712,0015,0018,0016,0016,0017,
713,0014,0018,0017,0016,0017,
714,0014,0018,0017,0018,0018,
715,0013,0014,0017,0017,0018,
